﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Division No.  1,1001,13135,7%,74,3%,720,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,990,1%,23,1%,69,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  2,1002,345,3%,4,13%,7,5%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,35,0%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  3,1003,145,1%,1,6%,17,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,15,0%,0,0%,2,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  4,1004,740,6%,0,0%,11,8%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,155,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  5,1005,1065,4%,1,1%,50,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,95,0%,2,3%,2,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  6,1006,1165,5%,7,6%,48,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,100,0%,4,3%,3,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  7,1007,450,2%,1,3%,17,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,35,0%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  8,1008,315,1%,0,0%,13,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,25,0%,0,0%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  9,1009,170,2%,1,2%,1,1%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,20,0%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 10,1010,1335,8%,1,1%,37,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,370,2%,2,2%,6,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
